Dmg value, samples
200000,0
201000,0
202000,0
203000,0
204000,0
205000,0
206000,0
207000,0
208000,0
209000,0
210000,0
211000,0
212000,0
213000,0
214000,0
215000,0
216000,0
217000,0
218000,0
219000,0
220000,0
221000,0
222000,108
223000,0
224000,0
225000,0
226000,0
227000,0
228000,0
229000,0
230000,0
231000,0
232000,0
233000,0
234000,0
235000,0
236000,0
237000,0
238000,0
239000,0
240000,0
241000,0
242000,0
243000,0
244000,80
245000,0
246000,0
247000,0
248000,0
249000,0
250000,0
251000,0
252000,0
253000,293
254000,0
255000,0
256000,0
257000,0
258000,0
259000,0
260000,324
261000,0
262000,0
263000,0
264000,0
265000,0
266000,0
267000,0
268000,0
269000,0
270000,0
271000,0
272000,0
273000,0
274000,221
275000,0
276000,0
277000,0
278000,0
279000,0
280000,60
281000,262
282000,0
283000,373
284000,0
285000,0
286000,65
287000,0
288000,0
289000,0
290000,919
291000,0
292000,0
293000,0
294000,0
295000,0
296000,0
297000,338
298000,0
299000,0
300000,0
301000,45
302000,0
303000,0
304000,0
305000,248
306000,0
307000,0
308000,65
309000,0
310000,0
311000,933
312000,0
313000,0
314000,180
315000,0
316000,0
317000,475
318000,262
319000,0
320000,0
321000,1061
322000,0
323000,0
324000,223
325000,0
326000,0
327000,0
328000,1037
329000,0
330000,0
331000,0
332000,173
333000,0
334000,190
335000,143
336000,0
337000,0
338000,174
339000,155
340000,0
341000,258
342000,794
343000,0
344000,81
345000,159
346000,0
347000,274
348000,699
349000,833
350000,0
351000,518
352000,0
353000,0
354000,694
355000,266
356000,138
357000,0
358000,1098
359000,0
360000,0
361000,250
362000,0
363000,210
364000,0
365000,561
366000,21
367000,0
368000,0
369000,741
370000,0
371000,0
372000,184
373000,390
374000,0
375000,706
376000,175
377000,0
378000,124
379000,1697
380000,0
381000,171
382000,296
383000,0
384000,0
385000,1622
386000,383
387000,0
388000,0
389000,617
390000,0
391000,0
392000,953
393000,109
394000,0
395000,622
396000,127
397000,0
398000,134
399000,97
400000,595
401000,0
402000,123
403000,208
404000,0
405000,219
406000,616
407000,568
408000,24
409000,365
410000,431
411000,0
412000,501
413000,643
414000,106
415000,420
416000,939
417000,437
418000,0
419000,289
420000,95
421000,0
422000,892
423000,439
424000,108
425000,0
426000,319
427000,138
428000,0
429000,389
430000,373
431000,0
432000,0
433000,536
434000,0
435000,0
436000,123
437000,1045
438000,0
439000,0
440000,213
441000,95
442000,0
443000,1293
444000,308
445000,0
446000,71
447000,736
448000,0
449000,684
450000,312
451000,16
452000,0
453000,887
454000,101
455000,0
456000,95
457000,157
458000,0
459000,0
460000,532
461000,67
462000,0
463000,59
464000,472
465000,0
466000,107
467000,56
468000,347
469000,0
470000,0
471000,481
472000,0
473000,283
474000,346
475000,321
476000,0
477000,95
478000,114
479000,0
480000,670
481000,363
482000,56
483000,81
484000,234
485000,48
486000,0
487000,307
488000,74
489000,0
490000,238
491000,88
492000,0
493000,0
494000,270
495000,0
496000,0
497000,92
498000,65
499000,0
500000,0
501000,558
502000,0
503000,0
504000,69
505000,247
506000,0
507000,0
508000,223
509000,0
510000,0
511000,494
512000,61
513000,0
514000,57
515000,28
516000,0
517000,383
518000,66
519000,0
520000,0
521000,81
522000,0
523000,0
524000,49
525000,39
526000,0
527000,43
528000,0
529000,0
530000,0
531000,0
532000,268
533000,0
534000,0
535000,0
536000,23
537000,0
538000,0
539000,274
540000,0
541000,76
542000,20
543000,24
544000,0
545000,0
546000,44
547000,0
548000,187
549000,33
550000,0
551000,0
552000,9
553000,0
554000,0
555000,62
556000,0
557000,0
558000,8
559000,0
560000,0
561000,0
562000,55
563000,0
564000,0
565000,0
566000,0
567000,0
568000,0
569000,130
570000,0
571000,0
572000,0
573000,10
574000,0
575000,0
576000,48
577000,0
578000,39
579000,5
580000,0
581000,0
582000,0
583000,0
584000,0
585000,39
586000,0
587000,0
588000,0
589000,0
590000,0
591000,0
592000,0
593000,0
594000,0
595000,0
596000,0
597000,0
598000,0
599000,0
600000,26
601000,0
602000,0
603000,0
604000,0
605000,0
606000,0
607000,32
608000,0
609000,0
610000,0
611000,0
612000,0
613000,0
614000,0
615000,0
616000,4
617000,0
618000,0
619000,0
620000,0
621000,0
622000,0
623000,0
624000,0
625000,0
626000,0
627000,0
628000,0
629000,0
630000,0
631000,0
632000,0
633000,0
634000,0
635000,0
636000,0
637000,2
638000,0
639000,0
640000,0
641000,0
642000,0
643000,0
644000,0
645000,0
646000,0
647000,0
648000,0
649000,0
650000,0
651000,0
652000,0
653000,0
654000,0
655000,0
656000,0
657000,0
658000,0
659000,0
660000,0
661000,0
662000,0
663000,0
664000,0
665000,0
666000,0
667000,0
668000,0
669000,0
670000,0
671000,0
672000,0
673000,0
674000,0
675000,0
676000,0
677000,0
678000,0
679000,0
680000,0
681000,0
682000,0
683000,0
684000,0
685000,0
686000,0
687000,0
688000,0
689000,0
690000,0
691000,0
692000,0
693000,0
694000,0
695000,0
696000,0
697000,0
698000,0
699000,0
700000,0
701000,0
702000,0
703000,0
704000,0
705000,0
706000,0
707000,0
708000,0
709000,0
710000,0
711000,0
712000,0
713000,0
714000,0
715000,0
716000,0
717000,0
718000,0
719000,0
720000,0
721000,0
722000,0
723000,0
724000,0
725000,0
726000,0
727000,0
728000,0
729000,0
730000,0
731000,0
732000,0
733000,0
734000,0
735000,0
736000,0
737000,0
738000,0
739000,0
740000,0
741000,0
742000,0
743000,0
744000,0
745000,0
746000,0
747000,0
748000,0
749000,0
750000,0
751000,0
752000,0
753000,0
754000,0
755000,0
756000,0
757000,0
758000,0
759000,0
760000,0
761000,0
762000,0
763000,0
764000,0
765000,0
766000,0
767000,0
768000,0
769000,0
770000,0
771000,0
772000,0
773000,0
774000,0
775000,0
776000,0
777000,0
778000,0
779000,0
780000,0
781000,0
782000,0
783000,0
784000,0
785000,0
786000,0
787000,0
788000,0
789000,0
790000,0
791000,0
792000,0
793000,0
794000,0
795000,0
796000,0
797000,0
798000,0
799000,0
800000,0
801000,0
802000,0
803000,0
804000,0
805000,0
806000,0
807000,0
808000,0
809000,0
810000,0
811000,0
812000,0
813000,0
814000,0
815000,0
816000,0
817000,0
818000,0
819000,0
820000,0
821000,0
822000,0
823000,0
824000,0
825000,0
826000,0
827000,0
828000,0
829000,0
830000,0
831000,0
832000,0
833000,0
834000,0
835000,0
836000,0
837000,0
838000,0
839000,0
840000,0
841000,0
842000,0
843000,0
844000,0
845000,0
846000,0
847000,0
848000,0
849000,0
850000,0
851000,0
852000,0
853000,0
854000,0
855000,0
856000,0
857000,0
858000,0
859000,0
860000,0
861000,0
862000,0
863000,0
864000,0
865000,0
866000,0
867000,0
868000,0
869000,0
870000,0
871000,0
872000,0
873000,0
874000,0
875000,0
876000,0
877000,0
878000,0
879000,0
880000,0
881000,0
882000,0
883000,0
884000,0
885000,0
886000,0
887000,0
888000,0
889000,0
890000,0
891000,0
892000,0
893000,0
894000,0
895000,0
896000,0
897000,0
898000,0
899000,0
900000,0
901000,0
902000,0
903000,0
904000,0
905000,0
906000,0
907000,0
908000,0
909000,0
910000,0
911000,0
912000,0
913000,0
914000,0
915000,0
916000,0
917000,0
918000,0
919000,0
920000,0
921000,0
922000,0
923000,0
924000,0
925000,0
926000,0
927000,0
928000,0
929000,0
930000,0
931000,0
932000,0
933000,0
934000,0
935000,0
936000,0
937000,0
938000,0
939000,0
940000,0
941000,0
942000,0
943000,0
944000,0
945000,0
946000,0
947000,0
948000,0
949000,0
950000,0
951000,0
952000,0
953000,0
954000,0
955000,0
956000,0
957000,0
958000,0
959000,0
960000,0
961000,0
962000,0
963000,0
964000,0
965000,0
966000,0
967000,0
968000,0
969000,0
970000,0
971000,0
972000,0
973000,0
974000,0
975000,0
976000,0
977000,0
978000,0
979000,0
980000,0
981000,0
982000,0
983000,0
984000,0
985000,0
986000,0
987000,0
988000,0
989000,0
990000,0
991000,0
992000,0
993000,0
994000,0
995000,0
996000,0
997000,0
998000,0
999000,0

Lyney stats: 
Base Atk: 926
Atk: 3450
Dmg%: 1.460
CR: 0.432
CD: 1.864
EM: 80
CA dmg%: 0.350
Skill dmg%: 0.000
Burst dmg%: 0.000
